id,testo,opzioni,corretta,difficolta,argomento,punti
Q001,"In the anime Black Butler, who is betrothed to be married to Ciel Phantomhive?",Elizabeth Midford|Rachel Phantomhive|Alexis Leon Midford|Angelina Dalles,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q002,Which one of these Manga titles was not created by Urasawa Naoki?,My Father's Journal|Billy Bat|20th Century Boys|Monster,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q003,"Which person from ""JoJo's Bizarre Adventure"" does NOT house a reference to a band, artist, or song earlier than 1980?",Giorno Giovanna|Josuke Higashikata|Jolyne Cujoh|Johnny Joestar,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q004,What is Gatomon's name in the original Japanese version of Digimon Adventure?,Tailmon|Pawmon|Catmon|Nekomon,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q005,In the Overlord Anime who was Cocytus made by?,Warrior Takemikazuchi|Peroroncino|Ulbert Alain Odle|Bukubukuchagama,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q006,The main protagonist of the fourth part of JoJo's Bizarre Adventure is which of the following?,Josuke Higashikata|Yoshikage kira|Koichi Hirose|Joey JoJo,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q007,"In ""One Piece"", what does ""the Pirate King"" mean to the captain of the Straw Hat Pirates?",Freedom|Promise|Adventure|Friendship,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q008,"Which of the following countries does ""JoJo's Bizarre Adventure: Stardust Crusaders"" not take place in?",Philippines|India|Pakistan|Egypt,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q009,"What is the name of Funny Valentine's stand in Jojo's Bizarre Adventure Part 7, Steel Ball Run?",Dirty Deeds Done Dirt Cheap|Filthy Acts Done For A Reasonable Price|Civil War|God Bless The USA,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q010,"Who is the colossal titan in ""Attack On Titan""?",Bertolt Hoover|Reiner|Eren|Sasha,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q011,What studio animated Fullmetal Alchemist?,Bones|Trigger|Pierrot|xebec,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q012,"In ""Hunter x Hunter"", which of the following is NOT a type of Nen aura?",Restoration|Emission|Transmutation|Specialization,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q013,"Which animation studio animated the 2016 anime ""Mob Psycho 100""?",Bones|A-1 Pictures|Shaft|Madhouse,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q014,"Which animation studio produced ""Log Horizon""?",Satelite|Sunrise|Xebec|Production I.G,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q015,Which of the following originated as a manga?,Akira|Cowboy Bebop|High School DxD|Gurren Lagann,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q016,In the anime Seven Deadly Sins what is the name of one of the sins?,Diane|Sakura|Ayano|Sheska,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q017,When was the first episode of Soul Eater released?,2008|2003|2005|2011,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q018,The name of Junko Enoshima's imposter at the beginning of Danganronpa: Trigger Happy Havoc is?,Mukuro Ikusaba|Ryota Mitarai|Ultimate Imposter|Komaru Naegi,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q019,Which of these names are not a character of JoJo's Bizarre Adventure?,JoJo Kikasu|Jean-Pierre Polnareff|George Joestar|Risotto Nero,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q020,"What was the reason for the banning of episode 35 of the ""Pokémon Original Series"" Anime?",Gun Usage|Flashing Images|Jynx|Strong Violence,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q021,"The heroine of ""Humanity Has Declined"" is a mediator between humans and what?",Fairies|Elves|The Earth|Animals,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q022,"In 2013, virtual pop-star Hatsune Miku had a sponsorship with which pizza chain?",Domino's|Papa John's|Pizza Hut|Sabarro's,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q023,What was Ash Ketchum's second Pokemon?,Caterpie|Charmander|Pikachu|Pidgey,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q024,What is the age of Ash Ketchum in Pokemon when he starts his journey?,10|11|12|9,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q025,"In ""Highschool DxD"", Koneko Toujou is from what race?",Nekomata|Kitsune|Human|Kappa,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q026,In the anime Assassination Classroom what is the class that Korosensei teaches?,Class 3-E|Class 3-A|Class 3-B|Class 3-D,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q027,"In ""A Certain Scientific Railgun"", how many ""sisters"" did Accelerator have to kill to achieve the rumored level 6?","20,000|128|10,000|5,000",A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q028,Who is the main character in One Piece?,Luffy|Shanks|Zoro|Smoker,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q029,"The character Plum from ""No Game No Life"" is of what race?",Dhampir|Flügel|Imanity|Seiren,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q030,"Which animation studio produced the anime adaptation of ""xxxHolic""?",Production I.G|Sunrise|Xebec|Kyoto Animation,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q031,"In ""Jewelpet Sunshine"", what is the song that plays when Kanon and her friends bust out of prison?",I Don't Want to Miss a Thing|Eye Of The Tiger|Born to be Wild|Ruby Ring,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q032,"Who was the Director of the 1988 Anime film ""Grave of the Fireflies""?",Isao Takahata|Hayao Miyazaki|Satoshi Kon|Sunao Katabuchi,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q033,"In ""Shakugan no Shana"" what was the Shana usually referred as?",Flame-Haired Burning-Eyed Hunter|Flame Haze|Flame-Haired Burning-Eyed Haze|Shana,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q034,"In the anime ""Mr. Osomatsu"", how many brothers does Osomatsu-san have?",5|6|7|4,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q035,Who is the horror manga artist who made Uzumaki?,Junji Ito|Kazuo Umezu|Shintaro Kago|Sui Ishida,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q036,"Akatsuki's subclass in ""Log Horizon"" is what?",Tracker|Assassin|Scribe|Apprentice,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q037,"In the ""Re:Zero"" manga series, which of the following Sin Archbishops eats Rem's existence?",Ley Batenkaitos|Roy Alphard|Petelgeuse Romanee-Conti|Louis Arneb,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q038,"Krusty is the guild master of which guild in ""Log Horizon""?",D. D. D|Silver Sword|West Wind Brigade|Oceanic Systems (Marine Agency),A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q039,"Who is the main heroine of the anime, Full Metal Panic!",Kaname Chidori|Teletha Testarossa|Melissa Mao|Kyoko Tokiwa,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q040,"In the anime Initial D, how does Takumi Fujiwara describe a drift?","'. . . the front tires slide so the car won't face the inside'|'. . . the wheels lose traction, making the car slide sideways'|'. . . the car oversteers through a curve, causing it to turn faster'|'. . . you turn a lot'",A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q041,Kirito and Asuna are main characters from which anime?,Sword Art Online|One Piece|Death Note|Fairy Tail,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q042,"In ""Future Diary"", what is the name of Yuno Gasai's Phone Diary?",Yukiteru Diary|Murder Diary|Escape Diary|Justice Diary,A,easy,Entertainment: Japanese Anime &amp; Manga,1
Q043,"In which manga did the ""404 Girl"" from 4chan originate from?",Yotsuba&!|Azumanga Daioh|Lucky Star|Clover,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q044,"In ""Toriko"", which of the following Heavenly Kings has an enhanced sense of Hearing?",Zebra|Coco|Sunny|Toriko,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q045,"In ""Love Live: School Idol Project"" what pseudonym does Kotori Minami use in her job as a maid?",Minalinsky|Stanoytchev|Kuznetsov|Aqours,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q046,"What is the name of the infamous pachinko machine from ""Kaiji""?",The Bog|The Devil|The Undefeated|The Dragon,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q047,Who was the Author of the manga Uzumaki?,Junji Ito|Noboru Takahashi|Akira Toriyama|Masashi Kishimoto,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q048,"In ""Toriko"", which of the following foods is knowingly compatible with Toriko?",Poison Potato|Mors Oil|Alpacookie|Parmesansho Fruit,A,medium,Entertainment: Japanese Anime &amp; Manga,1
Q049,"What year was ""JoJo's Bizarre Adventure: Phantom Blood"" first released?",1987|2013|1983|1995,A,hard,Entertainment: Japanese Anime &amp; Manga,1
Q050,"In ""To Love-Ru"", who is the first to hear of Yami's past from her?",Rito|Mikan|Lala|Haruna,A,medium,Entertainment: Japanese Anime &amp; Manga,1
